user_time,idle_time,kernel_time,mem_total,mem_available,mem_percent
15503.55,336366.78,6995.28,19327352832,5195317248,73.1
15503.99,336378.13,6995.53,19327352832,5199691776,73.1
15504.47,336389.14,6995.94,19327352832,5195366400,73.1
15505.15,336399.94,6996.45,19327352832,5227151360,73.0
15505.75,336410.93,6996.83,19327352832,5211947008,73.0
15506.49,336421.79,6997.22,19327352832,5213929472,73.0
15507.09,336432.67,6997.68,19327352832,5223612416,73.0
15507.82,336443.6,6998.05,19327352832,5207064576,73.1
15508.51,336454.51,6998.42,19327352832,5199560704,73.1
15508.99,336465.6,6998.78,19327352832,5227921408,73.0
15509.56,336476.51,6999.29,19327352832,5243748352,72.9
15510.21,336487.3,6999.82,19327352832,5235245056,72.9
15510.59,336498.68,7000.07,19327352832,5248598016,72.8
15511.87,336509.11,7000.36,19327352832,5257674752,72.8
15512.39,336520.24,7000.68,19327352832,5222645760,73.0
15513.07,336530.79,7001.39,19327352832,5236948992,72.9
15513.37,336542.21,7001.69,19327352832,5245403136,72.9
15513.72,336553.6,7001.93,19327352832,5265096704,72.8
15514.64,336564.07,7002.51,19327352832,5259051008,72.8
15515.1,336575.35,7002.79,19327352832,5211635712,73.0
15515.73,336586.33,7003.14,19327352832,5266178048,72.8
15515.94,336598.01,7003.28,19327352832,5289885696,72.6
15516.56,336609.04,7003.64,19327352832,5274812416,72.7
15517.07,336620.18,7003.98,19327352832,5282971648,72.7
15517.74,336630.93,7004.52,19327352832,5298798592,72.6
